"ITEMCODE","LOCATIONKEY","QUANTITYONHAND","QUANTITYBACKORDERED","QUANTITYRESERVED","QUANTITYINTRANSIT","BINLOCATION"
"150-340ESW","02","215","0","0","0","CC"
"150-340ESW","03","0","0","0","0",""
"150-340W","01","0","0","0","0","CC"
"150-340W","02","359","0","0","0","CC"
"150-340W","03","0","0","0","0",""
"150-341","00","0","0","0","0","RP"
"150-341","01","0","0","0","0","CC"
"150-341","02","1051","0","0","0","CC"
"150-341","03","0","0","0","0",""
"150-342","","0","0","0","0",""
"150-342","00","0","0","0","0","RP"
"150-342","01","0","0","0","0","CC"
"150-342","02","490","0","14","0","CC"
"150-342","03","0","0","0","0",""
"150-344ESUSB","02","254","0","0","0","CC"
"150-344ESUSB","03","0","0","0","0",""
"150-360","00","0","0","0","0","RP"
"150-360","01","0","0","0","0","CC"
"150-360","02","214","0","0","0","CC"
"150-360","03","0","0","0","0",""
"150-362","01","0","0","0","0","CC"
"150-362","02","222","0","0","0","CC"
"150-362","03","0","0","0","0",""
"150-362W","01","0","0","0","0","RI"
"150-362W","02","0","0","0","0",""
"150-362W","03","0","0","0","0",""
"150-380","00","0","0","0","0","RP"
"150-380","01","0","0","0","0","CC"
"150-380","02","490","0","4","0","CC"
"150-380","03","0","0","0","0",""
"150-380-2.5MM","02","101","0","0","0","CX"
"150-380-2.5MM","03","0","0","0","0",""
"150-380W","01","0","0","0","0","CC"
"150-380W","02","579","0","0","0","CC"
"150-380W","03","0","0","0","0",""
"150-382","01","0","0","0","0",""
"150-382","02","0","0","0","0",""
"150-382","03","0","0","0","0",""
"150-420","00","0","0","0","0","RP"
"150-420","01","0","0","0","0","CC"
"150-420","02","447","0","0","0","CC"
"150-420","03","0","0","0","0",""
"150-420W","01","0","0","0","0","CI"
"150-420W","02","51","0","0","0","CC"
"150-420W","03","0","0","0","0",""
"150-442","00","0","0","0","0","RP"
"150-442","01","0","0","0","0","CC"
"150-442","02","34","0","0","0","CC"
"150-442","03","0","0","0","0",""
"150-442A","02","362","0","0","0","CC"
"150-442A","03","0","0","0","0",""
"150-510","00","0","0","0","0","RP"
"150-510","01","0","0","0","0","CC"
"150-510","02","87","0","0","0","CC"
"150-510","03","0","0","0","0",""
"150-520","00","0","0","0","0","RP"
"150-520","01","0","0","0","0","CC"
"150-520","02","449","0","0","0","CC"
"150-520","03","0","0","0","0",""
"150-542","00","0","0","0","0","RP"
"150-542","01","0","0","0","0","CC"
"150-542","02","175","0","0","0","CC"
"150-542","03","0","0","0","0",""
"150-820","00","0","0","0","0",""
"150-820","01","0","0","0","0","CC"
"150-820","02","14","0","0","0","CC"
"150-820","03","0","0","0","0",""
"150-820-10","02","102","0","0","0","CC"
"150-820-10","03","0","0","0","0",""
"150-900","00","0","0","0","0","RP"
"150-900","01","0","0","0","0","RP"
"150-900","02","10","0","0","0","RP"
"150-900","03","0","0","0","0",""
"150-900-10","01","0","0","0","0","CC"
"150-900-10","02","47","0","0","0","CC"
"150-900-10","03","0","0","0","0",""
"150-901-10","00","0","0","0","0","RP"
"150-901-10","01","0","0","0","0","CC"
"150-901-10","02","130","0","0","0","CC"
"150-901-10","03","0","0","0","0",""
"150-901-100","","0","0","0","0",""
"150-901-100","00","0","0","0","0","RP"
"150-901-100","01","0","0","0","0","CC"
"150-901-100","02","16","0","0","0","CC"
"150-901-100","03","0","0","0","0",""
"150-901-2","00","0","0","0","0",""
"150-901-2","01","0","0","0","0",""
"150-901-2","02","8","0","0","0","RI"
"150-901-2","03","0","0","0","0",""
"150-902-10","00","0","0","0","0",""
"150-902-10","01","0","0","0","0",""
"150-902-10","02","23","0","0","0","CC"
"150-902-10","03","0","0","0","0",""
"150-902-100","02","0","0","0","0",""
"150-902-100","03","0","0","0","0",""
"150-908","01","0","0","0","0",""
"150-908","02","20","0","0","0",""
"150-908","03","0","0","0","0",""
"150-908-10","01","0","0","0","0","CC"
"150-908-10","02","-1","0","0","0","CC"
"150-908-10","03","0","0","0","0",""
"150-908-100","01","0","0","0","0","CC"
"150-908-100","02","10","0","0","0","CC"
"150-908-100","03","0","0","0","0",""
"150-920","01","0","0","0","0","CC"
"150-920","02","17","0","0","0","RP"
"150-920","03","0","0","0","0",""
"150-920-10","02","46","0","0","0","CC"
"150-920-10","03","0","0","0","0",""
"150-921","01","0","0","0","0",""
"150-921","02","0","0","0","0",""
"150-921","03","0","0","0","0",""
"15000","01","0","0","0","0","RI"
"15000","02","0","0","0","0",""
"15000","03","0","0","0","0",""
"1508/POM","02","1","0","0","0","R"
"1508/POM","03","0","0","0","0",""
"150L120A","02","0","0","0","0",""
"150L120A","03","0","0","0","0",""
"1545PRT","00","0","0","0","0","RP"
"1545PRT","01","0","0","0","0","RP"
"1545PRT","02","11","0","7","0","RP"
"1545PRT","03","0","0","7","0",""
"15519","01","0","0","0","0","RI"
"15519","02","0","0","0","0",""
"15519","03","0","0","0","0",""
"1551GBK","01","0","0","0","0","RP"
"1551GBK","02","11","0","0","0","RP"
"1551GBK","03","0","0","0","0",""
"1551GGY","01","0","0","0","0","RP"
"1551GGY","02","6","0","0","0","RP"
"1551GGY","03","0","0","0","0",""
"1551HBK","01","0","0","0","0","RP"
"1551HBK","02","3","0","0","0","RP"
"1551HBK","03","0","0","0","0",""
"1551HFLBK","02","2","0","0","0","RI"
"1551HFLBK","03","0","0","0","0",""
"1551HGY","01","0","0","0","0","RP"
"1551HGY","02","4","0","0","0","RP"
"1551HGY","03","0","0","0","0",""
"1551JTBU","02","0","0","0","0","RP"
"1551JTBU","03","0","0","0","0",""
"1551KBK","01","0","0","0","0","RP"
"1551KBK","02","5","0","0","0","RP"
"1551KBK","03","0","0","0","0",""
"1551KGY","01","0","0","0","0","RP"
"1551KGY","02","3","0","0","0","RP"
"1551KGY","03","0","0","0","0",""
"1551KTBU","01","0","0","0","0","RP"
"1551KTBU","02","2","0","0","0","RP"
"1551KTBU","03","0","0","0","0",""
"1551USB1CLR","02","0","0","0","0","RI"
"1551USB1CLR","03","0","0","0","0",""
"1551USB2GY","02","3","0","0","0","RI"
"1551USB2GY","03","0","0","0","0",""
"1551USB3BK","02","2","0","0","0","RI"
"1551USB3BK","03","0","0","0","0",""
"1553BBK","01","0","0","0","0","RP"
"1553BBK","02","2","0","0","0","RP"
"1553BBK","03","0","0","0","0",""
"1553BGY","02","1","0","0","0","R"
"1553BGY","03","0","0","0","0",""
"1553BGYBAT","01","0","0","0","0","RP"
"1553BGYBAT","02","3","0","0","0","RP"
"1553BGYBAT","03","0","0","0","0",""
"1553DBKBAT","01","0","0","0","0","RP"
"1553DBKBAT","02","2","0","0","0","RP"
"1553DBKBAT","03","0","0","0","0",""
"1553DGY","01","0","0","0","0","RP"
"1553DGY","02","0","0","0","0","R"
"1553DGY","03","0","0","0","0",""
"1553DRDBK","01","0","0","0","0","RP"
"1553DRDBK","02","0","0","0","0","R"
"1553DRDBK","03","0","0","0","0",""
"1553DYLBKBAT","01","0","0","0","0","RP"
"1553DYLBKBAT","02","1","0","0","0","RP"
"1553DYLBKBAT","03","0","0","0","0",""
"1553TGYBAT","02","2","0","0","0","RI"
"1553TGYBAT","03","0","0","0","0",""
"1553TTBK","02","0","0","0","0","R"
"1553TTBK","03","0","0","0","0",""
"1555C2F22GY","02","1","0","0","0","RP"
"1555C2F22GY","03","0","0","0","0",""
"1557-C","01","0","0","0","0","RP"
"1557-C","02","0","0","0","0",""
"1557-C","03","0","0","0","0",""
"1559-14","02","2","0","0","0","RP"
"1559-14","03","0","0","0","0",""
"1560-C","00","0","0","0","0","RP"
"1560-C","01","0","0","0","0","RP"
"1560-C","02","2","0","0","0","RP"
"1560-C","03","0","0","0","0",""
"15603","01","0","0","0","0",""
"15603","02","0","0","0","0",""
"15603","03","0","0","0","0",""
"15604","01","0","0","0","0",""
"15604","02","0","0","0","0",""
"15604","03","0","0","0","0",""
"15605","01","0","0","0","0","RP"
"15605","02","0","0","0","0",""
"15605","03","0","0","0","0",""
"1560-CS","02","0","0","0","0","RI"
"1560-CS","03","0","0","0","0",""
"1561-C","00","0","0","0","0","RP"
"1561-C","01","0","0","0","0","RI"
"1561-C","02","0","0","0","0",""
"1561-C","03","0","0","0","0",""
"1561BP","00","0","0","0","0","RP"
"1561BP","01","0","0","0","0",""
"1561BP","02","12","0","0","0","RI"
"1561BP","03","0","0","0","0",""
"1562-C","00","0","0","0","0","RP"
"1562-C","01","0","0","0","0","RP"
"1562-C","02","0","0","0","0",""
"1562-C","03","0","0","0","0",""
"1565-CS","02","0","0","0","0","RP"
"1565-CS","03","0","0","0","0",""
"156765","02","0","0","0","0",""
"156765","03","0","0","0","0",""
"156767","02","0","0","0","0",""
"156767","03","0","0","0","0",""
"156769","02","0","0","0","0",""
"156769","03","0","0","0","0",""
"1572","01","0","0","0","0",""
"1572","02","0","0","0","0",""
"1572","03","0","0","0","0",""
"1581H4","01","0","0","0","0","RP"
"1581H4","02","0","0","0","0","R"
"1581H4","03","0","0","0","0",""
"1581T4","02","0","0","0","0","RI"
"1581T4","03","0","0","0","0",""
"1582H6A1BKRA","02","1","0","0","0","RI"
"1582H6A1BKRA","03","0","0","0","0",""
"1582H6B1BKRA","01","0","0","0","0","RP"
"1582H6B1BKRA","02","2","0","0","0","RP"
"1582H6B1BKRA","03","0","0","0","0",""
"1583H6A1BK","01","0","0","0","0","RP"
"1583H6A1BK","02","2","0","0","0","RP"
"1583H6A1BK","03","0","0","0","0",""
"1583H8B1BK","01","0","0","0","0","RP"
"1583H8B1BK","02","2","0","0","0","RP"
"1583H8B1BK","03","0","0","0","0",""
"1583T12A1BKX","01","0","0","0","0","RP"
"1583T12A1BKX","02","1","0","0","0","RP"
"1583T12A1BKX","03","0","0","0","0",""
"1583T12B1BKX","01","0","0","0","0","RP"
"1583T12B1BKX","02","0","0","0","0","RP"
"1583T12B1BKX","03","0","0","0","0",""
"1583T8D1","01","0","0","0","0","RP"
"1583T8D1","02","0","0","0","0","RP"
"1583T8D1","03","0","0","0","0",""
"1584H4A1","02","0","0","0","0","RI"
"1584H4A1","03","0","0","0","0",""
"1584H6A1","00","0","0","0","0","RP"
"1584H6A1","01","0","0","0","0","RP"
"1584H6A1","02","5","0","0","0","RP"
"1584H6A1","03","0","0","0","0",""
"1584H6A1RA","01","0","0","0","0","RP"
"1584H6A1RA","02","2","0","0","0","RP"
"1584H6A1RA","03","0","0","0","0",""
"1584H6B1","00","0","0","0","0","RP"
"1584H6B1","01","0","0","0","0","RP"
"1584H6B1","02","5","0","0","0","RP"
"1584H6B1","03","0","0","0","0",""
"1584H8A1","00","0","0","0","0","RP"
"1584H8A1","01","0","0","0","0","RP"
"1584H8A1","02","4","0","0","0","RP"
"1584H8A1","03","0","0","0","0",""
"1584H8B1","00","0","0","0","0","RP"
"1584H8B1","01","0","0","0","0","RP"
"1584H8B1","02","2","0","0","0","RP"
"1584H8B1","03","0","0","0","0",""
"1584MK1","02","33","0","0","0","RI"
"1584MK1","03","0","0","0","0",""
"1584T4A1","02","2","0","0","0","RI"
"1584T4A1","03","0","0","0","0",""
"1584T6DH6","02","2","0","0","0","RI"
"1584T6DH6","03","0","0","0","0",""
"1584T8B1","02","3","0","0","0","RP"
"1584T8B1","03","0","0","0","0",""
"15853H6A1","02","0","0","0","0","RI"
"15853H6A1","03","0","0","0","0",""
"1585CLIP","01","0","0","0","0",""
"1585CLIP","02","0","0","0","0","RI"
"1585CLIP","03","0","0","0","0",""
"1585H8A1","01","0","0","0","0",""
"1585H8A1","02","0","0","0","0","RI"
"1585H8A1","03","0","0","0","0",""
"1586H12B1","01","0","0","0","0","RP"
"1586H12B1","02","1","0","0","0","RP"
"1586H12B1","03","0","0","0","0",""
"1587H10A1","00","0","0","0","0","RP"
"1587H10A1","01","0","0","0","0","RP"
"1587H10A1","02","0","0","0","0","RP"
"1587H10A1","03","0","0","0","0",""
"1589T77D1","02","0","0","0","0","RI"
"1589T8D1BKRR","02","0","0","0","0","RI"
"159-2","00","0","0","0","0",""
"159-2","01","0","0","0","0",""
"159-2","02","0","0","0","0",""
"159-2","03","0","0","0","0",""
"1590A","00","0","0","0","0","RP"
"1590A","01","0","0","0","0","RP"
"1590A","02","15","0","0","0","RP"
"1590A","03","0","0","0","0",""
"1590AF","00","0","0","0","0","RP"
"1590AF","01","0","0","0","0","RI"
"1590AF","02","2","0","0","0","RP"
"1590AF","03","0","0","0","0",""
"1590AFBK","00","0","0","0","0","RP"
"1590AFBK","01","0","0","0","0","RP"
"1590AFBK","02","0","0","0","0","R"
"1590AFBK","03","0","0","0","0",""
"1590B","00","0","0","0","0","RP"
"1590B","01","0","0","0","0","RP"
"1590B","02","15","0","0","0","RP"
"1590B","03","0","0","0","0",""
"1590BB","00","0","0","0","0","RP"
"1590BB","01","0","0","0","0","RP"
"1590BB","02","12","0","0","0","RP"
"1590BB","03","0","0","0","0",""
"1590C","00","0","0","0","0","RP"
"1590C","01","0","0","0","0","RP"
"1590C","02","0","0","0","0","RP"
"1590C","03","0","0","0","0",""
"1590CF","00","0","0","0","0","RP"
"1590CF","01","0","0","0","0","RP"
"1590CF","02","3","0","0","0","RP"
"1590CF","03","0","0","0","0",""
"1590D","00","0","0","0","0","RP"
"1590D","01","0","0","0","0","RP"
"1590D","02","3","0","0","0","RP"
"1590D","03","0","0","0","0",""
"1590E","00","0","0","0","0","RP"
"1590E","01","0","0","0","0","RP"
"1590E","02","2","0","0","0","RP"
"1590E","03","0","0","0","0",""
"1590F","01","0","0","0","0","RP"
"1590F","02","2","0","0","0","RP"
"1590F","03","0","0","0","0",""
"1590G","02","2","0","0","0","RP"
"1590G","03","0","0","0","0",""
"1590H","00","0","0","0","0",""
"1590H","01","0","0","0","0","RP"
"1590H","02","1","0","0","0","RP"
"1590H","03","0","0","0","0",""
"1590LB","00","0","0","0","0","RP"
"1590LB","01","0","0","0","0","RP"
"1590LB","02","7","0","0","0","RP"
"1590LB","03","0","0","0","0",""
"1590R","00","0","0","0","0","RP"
"1590R","01","0","0","0","0","RP"
"1590R","02","14","0","0","0","RP"
"1590R","03","0","0","0","0",""
"1590STPC","02","0","0","0","0","RI"
"1590STPC","03","0","0","0","0",""
"1590TRPB","02","3","0","0","0","RI"
"1590TRPB","03","0","0","0","0",""
"1590WD","01","0","0","0","0","RP"
"1590WD","02","3","0","0","0","RP"
"1590WD","03","0","0","0","0",""
"1590Z110GY","01","0","0","0","0","RP"
"1590Z110GY","02","0","0","0","0","RP"
"1590Z110GY","03","0","0","0","0",""
"1590Z120GY","01","0","0","0","0","RP"
"1590Z120GY","02","0","0","0","0","RP"
"1590Z120GY","03","0","0","0","0",""
"1590Z130GY","01","0","0","0","0","RP"
"1590Z130GY","02","0","0","0","0","RP"
"1590Z130GY","03","0","0","0","0",""
"1590Z150GY","01","0","0","0","0","RP"
"1590Z150GY","02","1","0","0","0","RP"
"1590Z150GY","03","0","0","0","0",""
"1591ABU","00","0","0","0","0","RP"
"1591ABU","01","0","0","0","0","RP"
"1591ABU","02","1","0","0","0","RP"
"1591ABU","03","0","0","0","0",""
"1591AGY","00","0","0","0","0","RP"
"1591AGY","01","0","0","0","0","RP"
"1591AGY","02","5","0","0","0","RP"
"1591AGY","03","0","0","0","0",""
"1591ASBK","00","0","0","0","0","RP"
"1591ASBK","01","0","0","0","0","RP"
"1591ASBK","02","30","0","0","0","RP"
"1591ASBK","03","0","0","0","0",""
"1591ASFLBK","01","0","0","0","0","RP"
"1591ASFLBK","02","6","0","0","0","RP"
"1591ASFLBK","03","0","0","0","0",""
"1591ATBU","01","0","0","0","0","RP"
"1591ATBU","02","3","0","0","0","RP"
"1591ATBU","03","0","0","0","0",""
"1591ATCL","02","6","0","0","0","RI"
"1591ATCL","03","0","0","0","0",""
"1591ATRD","01","0","0","0","0","RP"
"1591ATRD","02","1","0","0","0","RP"
"1591ATRD","03","0","0","0","0",""
"1591B-RP","02","0","0","0","0",""
"1591B-RP","03","0","0","0","0",""
"1591BBK","02","5","0","0","0","RI"
"1591BBK","03","0","0","0","0",""
"1591BBU","00","0","0","0","0","RP"
"1591BBU","01","0","0","0","0","RP"
"1591BBU","02","2","0","0","0","RP"
"1591BBU","03","0","0","0","0",""
"1591BGY","00","0","0","0","0","RP"
"1591BGY","01","0","0","0","0","RP"
"1591BGY","02","4","0","0","0","RP"
"1591BGY","03","0","0","0","0",""
"1591BSBK","00","0","0","0","0","RP"
"1591BSBK","01","0","0","0","0","RP"
"1591BSBK","02","43","0","25","0","RP"
"1591BSBK","03","0","0","0","0",""
"1591BSFLBK","01","0","0","0","0","RP"
"1591BSFLBK","02","4","0","0","0","RP"
"1591BSFLBK","03","0","0","0","0",""
"1591BTBU","01","0","0","0","0","RP"
"1591BTBU","02","2","0","0","0","RP"
"1591BTBU","03","0","0","0","0",""
"1591BTRD","01","0","0","0","0","RP"
"1591BTRD","02","3","0","0","0","RP"
"1591BTRD","03","0","0","0","0",""
"1591CBU","00","0","0","0","0","RP"
"1591CBU","01","0","0","0","0","RP"
"1591CBU","02","6","0","0","0","RP"
"1591CBU","03","0","0","0","0",""
"1591CGY","00","0","0","0","0","RP"
"1591CGY","01","0","0","0","0","RP"
"1591CGY","02","6","0","0","0","RP"
"1591CGY","03","0","0","0","0",""
"1591CSBK","00","0","0","0","0","RP"
"1591CSBK","01","0","0","0","0","RP"
"1591CSBK","02","27","0","0","0","RP"
"1591CSBK","03","0","0","0","0",""
"1591CTBU","01","0","0","0","0","RP"
"1591CTBU","02","2","0","0","0","RP"
"1591CTBU","03","0","0","0","0",""
"1591CTRD","01","0","0","0","0","RP"
"1591CTRD","02","3","0","0","0","RP"
"1591CTRD","03","0","0","0","0",""
"1591DBU","00","0","0","0","0",""
"1591DBU","01","0","0","0","0","RP"
"1591DBU","02","6","0","0","0","RP"
"1591DBU","03","0","0","0","0",""
"1591DGY","00","0","0","0","0","RP"
"1591DGY","01","0","0","0","0","RP"
"1591DGY","02","18","0","15","0","RP"
"1591DGY","03","0","0","0","0",""
"1591DSBK","00","0","0","0","0","RP"
"1591DSBK","01","0","0","0","0","RP"
"1591DSBK","02","7","0","0","0","RP"
"1591DSBK","03","0","0","0","0",""
"1591DSFLBK","01","0","0","0","0","RP"
"1591DSFLBK","02","3","0","0","0","RP"
"1591DSFLBK","03","0","0","0","0",""
"1591DTBU","01","0","0","0","0","RP"
"1591DTBU","02","1","0","0","0","RP"
"1591DTBU","03","0","0","0","0",""
"1591DTRD","01","0","0","0","0","RP"
"1591DTRD","02","0","0","0","0","RP"
"1591DTRD","03","0","0","0","0",""
"1591EBU","00","0","0","0","0","RP"
"1591EBU","01","0","0","0","0","RP"
"1591EBU","02","0","0","0","0","RP"
"1591EBU","03","0","0","0","0",""
"1591EGY","00","0","0","0","0","RP"
"1591EGY","01","0","0","0","0","RP"
"1591EGY","02","4","0","0","0","RP"
"1591EGY","03","0","0","0","0",""
"1591ESBK","00","0","0","0","0","RP"
"1591ESBK","01","0","0","0","0","RP"
"1591ESBK","02","13","0","0","0","RP"
"1591ESBK","03","0","0","0","0",""
"1591ETBU","01","0","0","0","0","RP"
"1591ETBU","02","2","0","0","0","RP"
"1591ETBU","03","0","0","0","0",""
"1591ETRD","01","0","0","0","0","RP"
"1591ETRD","02","0","0","0","0","RP"
"1591ETRD","03","0","0","0","0",""
"1591GBK","00","0","0","0","0",""
"1591GBK","01","0","0","0","0",""
"1591GBK","02","0","0","0","0","RP"
"1591GBK","03","0","0","0","0",""
"1591GSBK","00","0","0","0","0",""
"1591GSBK","01","0","0","0","0","RP"
"1591GSBK","02","4","0","0","0","RP"
"1591GSBK","03","0","0","0","0",""
"1591HSBK","01","0","0","0","0","RP"
"1591HSBK","02","0","0","0","0","RP"
"1591HSBK","03","0","0","0","0",""
"1591LBU","00","0","0","0","0",""
"1591LBU","01","0","0","0","0","RP"
"1591LBU","02","3","0","0","0","RP"
"1591LBU","03","0","0","0","0",""
"1591LGY","00","0","0","0","0","RP"
"1591LGY","01","0","0","0","0","RP"
"1591LGY","02","6","0","0","0","RP"
"1591LGY","03","0","0","0","0",""
"1591LSBK","00","0","0","0","0","RP"
"1591LSBK","01","0","0","0","0","RP"
"1591LSBK","02","10","0","0","0","RP"
"1591LSBK","03","0","0","0","0",""
"1591MSFLBK","01","0","0","0","0","RP"
"1591MSFLBK","02","4","0","0","0","RP"
"1591MSFLBK","03","0","0","0","0",""
"1591SBK","02","0","0","0","0","RI"
"1591SBK","03","0","0","0","0",""
"1591SSBK","00","0","0","0","0","RP"
"1591SSBK","01","0","0","0","0","RP"
"1591SSBK","02","6","0","0","0","RP"
"1591SSBK","03","0","0","0","0",""
"1591STCL","02","2","0","0","0","RI"
"1591STCL","03","0","0","0","0",""
"1591VSBK","01","0","0","0","0","RP"
"1591VSBK","02","8","0","0","0","RP"
"1591VSBK","03","0","0","0","0",""
"1591Z6","01","0","0","0","0","RI"
"1591Z6","02","1","0","0","0","RI"
"1591Z6","03","0","0","0","0",""
"1593DBK","01","0","0","0","0","RP"
"1593DBK","02","7","0","0","0","RP"
"1593DBK","03","0","0","0","0",""
"1593DGY","01","0","0","0","0","RI"
"1593DGY","02","1","0","0","0","RI"
"1593DGY","03","0","0","0","0",""
"1593HAMARBK","02","0","0","0","0",""
"1593HAMARBK","03","0","0","0","0",""
"1593HAMARGY","02","0","0","0","0",""
"1593HAMARGY","03","0","0","0","0",""
"1593HAMARTBU","02","3","0","0","0","RI"
"1593HAMARTBU","03","0","0","0","0",""
"1593HAMBOGRBK","02","0","0","0","0",""
"1593HAMBOGRBK","03","0","0","0","0",""
"1593HAMBOGRGY","02","8","0","0","0","RI"
"1593HAMBOGRGY","03","0","0","0","0",""
"1593HAMBOGRTBU","02","0","0","0","0",""
"1593HAMBOGRTBU","03","0","0","0","0",""
"1593HAMBONEBK","02","0","0","0","0",""
"1593HAMBONEBK","03","0","0","0","0",""
"1593HAMBONEGY","02","2","0","0","0","R"
"1593HAMBONEGY","03","0","0","0","0",""
"1593HAMBONETBU","02","2","0","0","0","R"
"1593HAMBONETBU","03","0","0","0","0",""
"1593HAMDOGGY","02","0","0","0","0",""
"1593HAMDOGGY","03","0","0","0","0",""
"1593HAMDUEBK","02","1","0","0","0","RX"
"1593HAMDUEBK","03","0","0","0","0",""
"1593HAMEGG2TBU","02","0","0","0","0",""
"1593HAMEGG2TBU","03","0","0","0","0",""
"1593HAMFREE1GY","02","0","0","0","0",""
"1593HAMFREE1GY","03","0","0","0","0",""
"1593HAMFREE2GY","02","0","0","0","0",""
"1593HAMFREE2GY","03","0","0","0","0",""
"1593HAMMEGATBU","02","0","0","0","0",""
"1593HAMMEGATBU","03","0","0","0","0",""
"1593HAMPI2BK","02","0","0","0","0",""
"1593HAMPI2BK","03","0","0","0","0",""
"1593HAMPI2CLR","02","0","0","0","0",""
"1593HAMPI2CLR","03","0","0","0","0",""
"1593HAMPI2GY","02","0","0","0","0",""
"1593HAMPI2GY","03","0","0","0","0",""
"1593HAMPI2TBU","02","0","0","0","0",""
"1593HAMPI2TBU","03","0","0","0","0",""
"1593HAMPI3BK","02","8","0","0","0","RI"
"1593HAMPI3BK","03","0","0","0","0",""
"1593HAMPI3CLR","02","11","0","11","0","RI"
"1593HAMPI3CLR","03","0","0","0","0",""
"1593HAMPI3GY","02","13","0","0","0","RI"
"1593HAMPI3GY","03","0","0","0","0",""
"1593HAMPI3TBU","02","0","0","0","0",""
"1593HAMPI3TBU","03","0","0","0","0",""
"1593HAMPICLR","02","0","0","0","0",""
"1593HAMPICLR","03","0","0","0","0",""
"1593HAMPITBU","02","0","0","0","0",""
"1593HAMPITBU","03","0","0","0","0",""
"1593HAMUNOBK","02","0","0","0","0",""
"1593HAMUNOBK","03","0","0","0","0",""
"1593HAMUNOTBU","02","2","0","0","0","R"
"1593HAMUNOTBU","03","0","0","0","0",""
"1593JBK","01","0","0","0","0","RI"
"1593JBK","02","5","0","0","0","RP"
"1593JBK","03","0","0","0","0",""
"1593JGY","00","0","0","0","0",""
"1593JGY","01","0","0","0","0","RP"
"1593JGY","02","4","0","0","0","RP"
"1593JGY","03","0","0","0","0",""
"1593KBK","00","0","0","0","0","RP"
"1593KBK","01","0","0","0","0","RP"
"1593KBK","02","3","0","0","0","RP"
"1593KBK","03","0","0","0","0",""
"1593KGY","00","0","0","0","0","RP"
"1593KGY","01","0","0","0","0","RP"
"1593KGY","02","4","0","0","0","RP"
"1593KGY","03","0","0","0","0",""
"1593LBK","01","0","0","0","0","RP"
"1593LBK","02","2","0","0","0","RP"
"1593LBK","03","0","0","0","0",""
"1593LGY","01","0","0","0","0","RI"
"1593LGY","02","4","0","0","0","RP"
"1593LGY","03","0","0","0","0",""
"1593PBK","00","0","0","0","0","RP"
"1593PBK","01","0","0","0","0","RP"
"1593PBK","02","3","0","0","0","RP"
"1593PBK","03","0","0","0","0",""
"1593PGY","00","0","0","0","0","RP"
"1593PGY","01","0","0","0","0","RP"
"1593PGY","02","0","0","0","0","RP"
"1593PGY","03","0","0","0","0",""
"1593QBK","00","0","0","0","0","RP"
"1593QBK","01","0","0","0","0","RP"
"1593QBK","02","1","0","0","0","RP"
"1593QBK","03","0","0","0","0",""
"1593QGY","00","0","0","0","0","RP"
"1593QGY","01","0","0","0","0","RP"
"1593QGY","02","2","0","0","0","RP"
"1593QGY","03","0","0","0","0",""
"1593YBK","01","0","0","0","0","RP"
"1593YBK","02","0","0","0","0",""
"1593YBK","03","0","0","0","0",""
"1593YGY","01","0","0","0","0","RP"
"1593YGY","02","2","0","0","0","RP"
"1593YGY","03","0","0","0","0",""
"1594ASGY","01","0","0","0","0","RP"
"1594ASGY","02","5","0","0","0","RP"
"1594ASGY","03","0","0","0","0",""
"1594BSGY","01","0","0","0","0","RP"
"1594BSGY","02","3","0","0","0","RP"
"1594BSGY","03","0","0","0","0",""
"1594C","00","0","0","0","0",""
"1594C","01","0","0","0","0","RI"
"1594C","02","0","0","0","0",""
"1594C","03","0","0","0","0",""
"1594CSGY","01","0","0","0","0","RP"
"1594CSGY","02","4","0","0","0","RP"
"1594CSGY","03","0","0","0","0",""
"1594DSGY","01","0","0","0","0","RP"
"1594DSGY","02","4","0","0","0","RP"
"1594DSGY","03","0","0","0","0",""
"1594ESGY","01","0","0","0","0","RP"
"1594ESGY","02","8","0","0","0","RP"
"1594ESGY","03","0","0","0","0",""
"1595-CS","00","0","0","0","0",""
"1595-CS","01","0","0","0","0","RI"
"1595-CS","02","0","0","0","0",""
"1595-CS","03","0","0","0","0",""
"1595CGY","00","0","0","0","0","RP"
"1595CGY","01","0","0","0","0","RP"
"1595CGY","02","1","0","0","0","RP"
"1595CGY","03","0","0","0","0",""
"1595EGY","00","0","0","0","0","RP"
"1595EGY","01","0","0","0","0","RP"
"1595EGY","02","3","0","0","0","RP"
"1595EGY","03","0","0","0","0",""
"1597-CS","00","0","0","0","0",""
"1597-CS","01","0","0","0","0","RI"
"1597-CS","02","0","0","0","0","RI"
"1597-CS","03","0","0","0","0",""
"1598-03C","01","0","0","0","0","RI"
"1598-03C","02","8","0","0","0","RX"
"1598-03C","03","0","0","0","0",""
"1598AGY","00","0","0","0","0","RP"
"1598AGY","01","0","0","0","0","RP"
"1598AGY","02","0","0","0","0","RP"
"1598AGY","03","0","0","0","0",""
"1598ASGY","00","0","0","0","0","RP"
"1598ASGY","01","0","0","0","0","RP"
"1598ASGY","02","2","0","0","0","RP"
"1598ASGY","03","0","0","0","0",""
"1598ATS100","02","2","0","0","0","RP"
"1598ATS100","03","0","0","0","0",""
"1598BBGY","00","0","0","0","0","RP"
"1598BBGY","01","0","0","0","0","RP"
"1598BBGY","02","4","0","0","0","RP"
"1598BBGY","03","0","0","0","0",""
"1598BBK","00","0","0","0","0","RP"
"1598BBK","01","0","0","0","0","RP"
